Event	ID	Name			Wwise Object Path	Notes
	113527723	fs_char_rightfootwalk			\Default Work Unit\character_locomotion\footsteps\fs_char_rightfootwalk	
	563057831	Play_SeaDeath			\Default Work Unit\Play_SeaDeath	
	569793762	fs_char_leftfootwalk			\Default Work Unit\character_locomotion\footsteps\fs_char_leftfootwalk	
	904669703	fs_char_rightfootrun			\Default Work Unit\character_locomotion\footsteps\fs_char_rightfootrun	
	1356286463	amb_lake			\Default Work Unit\ambiences\amb_lake	
	2879234822	Play_NPC_LifeCoach			\Default Work Unit\Play_NPC_LifeCoach	
	3778170452	fs_char_leftfootrun			\Default Work Unit\character_locomotion\footsteps\fs_char_leftfootrun	
	3948925255	Play_Splash			\Default Work Unit\Play_Splash	

Switch Group	ID	Name			Wwise Object Path	Notes
	3539622648	Ground_Material			\Default Work Unit\Ground_Material	

Switch	ID	Name	Switch Group			Notes
	803837735	Sand	Ground_Material			
	841620460	Concrete	Ground_Material			
	2058049674	Wood	Ground_Material			
	2144363834	Rock	Ground_Material			
	2195636714	Dirt	Ground_Material			
	4248645337	Grass	Ground_Material			

State Group	ID	Name			Wwise Object Path	Notes
	2654748154	Water			\Default Work Unit\Water	

State	ID	Name	State Group			Notes
	748895195	None	Water			
	2213237662	Underwater	Water			
	3216443627	NotUnderwater	Water			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4774963	FEETHmn-WOOD_Footsteps Running Left Foot Trainers 10_FE_Apocalypse	C:\Users\Fraser\Documents\GitHub\Apocalypse\Wwise\Apocalypse²\.cache\Windows\SFX\FEETHmn-WOOD_Footsteps Running Left Foot Trainers 10_FE_Apocalypse_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\char_locomotion\footsteps\Footsteps_Left_Run\RunWood\Left Foot\FEETHmn-WOOD_Footsteps Running Left Foot Trainers 10_FE_Apocalypse		32434
	5537755	FEETHmn-CONCRETE_Footsteps Left Toe Trainers 12_FE_Apocalypse	C:\Users\Fraser\Documents\GitHub\Apocalypse\Wwise\Apocalypse²\.cache\Windows\SFX\FEETHmn-CONCRETE_Footsteps Left Toe Trainers 12_FE_Apocalypse_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\char_locomotion\footsteps\Footsteps_Left_Walk\WalkConcrete\Walk Left Foot\Left Toe\FEETHmn-CONCRETE_Footsteps Left Toe Trainers 12_FE_Apocalypse		26766
	5634986	FEETHmn-CONCRETE_Footsteps Run Right Trainers 05_FE_Apocalypse	C:\Users\Fraser\Documents\GitHub\Apocalypse\Wwise\Apocalypse²\.cache\Windows\SFX\FEETHmn-CONCRETE_Footsteps Run Right Trainers 05_FE_Apocalypse_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\char_locomotion\footsteps\Footsteps_Right_Run\RunConcrete\Right Foot\FEETHmn-CONCRETE_Footsteps Run Right Trainers 05_FE_Apocalypse		28418
	10063207	FEETHmn-CONCRETE_Footsteps Left Heel Trainers 11_FE_Apocalypse	C:\Users\Fraser\Documents\GitHub\Apocalypse\Wwise\Apocalypse²\.cache\Windows\SFX\FEETHmn-CONCRETE_Footsteps Left Heel Trainers 11_FE_Apocalypse_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\char_locomotion\footsteps\Footsteps_Left_Walk\WalkConcrete\Walk Left Foot\Left Heel\FEETHmn-CONCRETE_Footsteps Left Heel Trainers 11_FE_Apocalypse		35386
	11993461	FEETHmn-CONCRETE_Footsteps Left Heel Trainers 06_FE_Apocalypse	C:\Users\Fraser\Documents\GitHub\Apocalypse\Wwise\Apocalypse²\.cache\Windows\SFX\FEETHmn-CONCRETE_Footsteps Left Heel Trainers 06_FE_Apocalypse_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\char_locomotion\footsteps\Footsteps_Left_Walk\WalkConcrete\Walk Left Foot\Left Heel\FEETHmn-CONCRETE_Footsteps Left Heel Trainers 06_FE_Apocalypse		41688
	29483911	FEETHmn-CONCRETE_Footsteps Right Toe Trainers 05_FE_Apocalypse	C:\Users\Fraser\Documents\GitHub\Apocalypse\Wwise\Apocalypse²\.cache\Windows\SFX\FEETHmn-CONCRETE_Footsteps Right Toe Trainers 05_FE_Apocalypse_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\char_locomotion\footsteps\Footsteps_Right_Walk\WalkConcrete\Walk Right Foot\Right Toe\FEETHmn-CONCRETE_Footsteps Right Toe Trainers 05_FE_Apocalypse		30332
	30156209	FEETHmn-WOOD_Footsteps Walking Right Heel Trainers 31_FE_Apocalypse	C:\Users\Fraser\Documents\GitHub\Apocalypse\Wwise\Apocalypse²\.cache\Windows\SFX\FEETHmn-WOOD_Footsteps Walking Right Heel Trainers 31_FE_Apocalypse_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\char_locomotion\footsteps\Footsteps_Right_Walk\WalkWood\Walk Right Foot\Right Heel\FEETHmn-WOOD_Footsteps Walking Right Heel Trainers 31_FE_Apocalypse		29614
	35158134	FEETHmn-WOOD_Footsteps Walking Left Toe Trainers 05_FE_Apocalypse	C:\Users\Fraser\Documents\GitHub\Apocalypse\Wwise\Apocalypse²\.cache\Windows\SFX\FEETHmn-WOOD_Footsteps Walking Left Toe Trainers 05_FE_Apocalypse_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\char_locomotion\footsteps\Footsteps_Left_Walk\WalkWood\Walk Left Foot\Left Toe\FEETHmn-WOOD_Footsteps Walking Left Toe Trainers 05_FE_Apocalypse		22292
	54064351	FEETHmn-WOOD_Footsteps Walking Right Heel Trainers 17_FE_Apocalypse	C:\Users\Fraser\Documents\GitHub\Apocalypse\Wwise\Apocalypse²\.cache\Windows\SFX\FEETHmn-WOOD_Footsteps Walking Right Heel Trainers 17_FE_Apocalypse_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\char_locomotion\footsteps\Footsteps_Right_Walk\WalkWood\Walk Right Foot\Right Heel\FEETHmn-WOOD_Footsteps Walking Right Heel Trainers 17_FE_Apocalypse		29592
	55379297	FEETHmn-CONCRETE_Footsteps Right Heel Trainers 01_FE_Apocalypse	C:\Users\Fraser\Documents\GitHub\Apocalypse\Wwise\Apocalypse²\.cache\Windows\SFX\FEETHmn-CONCRETE_Footsteps Right Heel Trainers 01_FE_Apocalypse_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\char_locomotion\footsteps\Footsteps_Right_Walk\WalkConcrete\Walk Right Foot\Right Heel\FEETHmn-CONCRETE_Footsteps Right Heel Trainers 01_FE_Apocalypse		50616
